complaint_id,filename,sha256,classification,tier,label,reasons,officer_count,has_sustained,incident_date
20-0051,PPD_20-0051.txt,59944cabe3c98dbe4b039482a8a60d090d929679e4178324ec3195d8f25ace84,DEPARTMENTAL VIOLATIONS,0,negative,,6,True,2020-01-31
20-0052,PPD_20-0052.txt,401204c627f78c82d967e56fcef3734f5335af8b5ef4c5419007d0b093143a0b,LACK OF SERVICE,0,negative,,2,False,2020-01-24
20-0053,PPD_20-0053.txt,d9121532628795592bbabf1576613c865540e85184824d43fd6369ff3400cb24,LACK OF SERVICE,0,negative,,1,False,2019-02-07
20-0054,PPD_20-0054.txt,a8419c84315da0c93e8662e5eb1e1b1cd1c8042fb15870862a70de0ecb3962ef,CRIMINAL ALLEGATION,1,strong_giglio,Criminal Allegation (No Sustained Findings); Criminal Allegation (No Sustained Findings),7,True,2020-01-17
20-0055,PPD_20-0055.txt,954ec4fc433744b6b7086dd77b2fceab798a418388bcb8f6eac5b82c72eb7ce7,DEPARTMENTAL VIOLATIONS,0,negative,,6,True,2020-02-01
20-0056,PPD_20-0056.txt,98d022c69554e5a0677f06f9b15633592282f04fca19ed2585b810709bc058aa,DEPARTMENTAL VIOLATIONS,0,negative,,6,False,2020-02-06
20-0057,PPD_20-0057.txt,4ae9d6b8c0250fba7e197beadf7769fd2a78ecaab49988acbe9fcb54b451f89a,LACK OF SERVICE,0,negative,,2,False,2020-01-29
20-0058,PPD_20-0058.txt,3f5f2a16a35684514966af5cc489dbbab8ac6b470512e7b73319b4dc256eaf66,LACK OF SERVICE,0,negative,,10,True,2019-08-14
20-0059,PPD_20-0059.txt,d4533e9a2b6f667eb395ba5dfc1729c801520ec5a581e1f51cbec94052d186d0,DEPARTMENTAL VIOLATIONS,0,negative,,3,False,2019-02-11
20-0060,PPD_20-0060.txt,57d4df8b80cd38867f7e37351ea8c8c34412ab6e604e2e72ba7e624b62631180,UNPROFESSIONAL CONDUCT,0,negative,,4,False,2020-02-09
20-0061,PPD_20-0061.txt,b755517c2ed46fdda2bd202fc63d20cb8e5869a183f1c3f38d518c703c87f1ba,VERBAL ABUSE,0,negative,,1,False,2020-02-06
20-0062,PPD_20-0062.txt,956623f48193736e7899c1f54fdbae6f0cdf192c2e6e6e97acffb59600410024,DEPARTMENTAL VIOLATIONS,0,negative,,7,True,2020-02-11
20-0063,PPD_20-0063.txt,fff1ae0243d0b456aeb40b5a90e1b24743c84397f0e744bffc774af82050c2ea,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,6,True,2020-02-05
20-0064,PPD_20-0064.txt,c1b9f3e2103d0853c6eab6388973291a4ae26b56a3ab218d0c6c9750d38313b8,LACK OF SERVICE,0,negative,,2,True,2017-10-14
20-0065,PPD_20-0065.txt,e844f35e2aa3997fa252200361fee0aa474d7f0265badd4a2b9bb2ff782dafc1,HARASSMENT,0,negative,,2,False,
20-0066,PPD_20-0066.txt,283521412087089442b42d149e808a9201f387031504bcce1a15c0bd37f3fadb,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2020-02-11
20-0067,PPD_20-0067.txt,321279de06a1fc9280eda4326eec001607c74411329ba96b54f9e8fab2c77e0e,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2020-01-31
20-0068,PPD_20-0068.txt,08a76c441238b66c3649569d5b3a7e5296dedf472efd367b48c6c45b2018bee1,HARASSMENT,0,negative,,3,False,
20-0069,PPD_20-0069.txt,cd63aa31eccb6a23ab9a326ac511102d99b8b715eb2147da2e16b8bb2811179e,HARASSMENT,0,negative,,1,False,2020-02-12
20-0070,PPD_20-0070.txt,c2f0944708ed81db5396e83e92f060f2895bdf4ebf2b7cc99309c45f32b44aa9,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,31,True,2020-02-10
20-0071,PPD_20-0071.txt,b32d6bfd02b182377941045255569c941f2f1e64d27e9bc73377a91819351e9b,PHYSICAL ABUSE,0,negative,,2,False,2019-08-14
20-0072,PPD_20-0072.txt,21136b7d3b31c5e9c91b52fed6b48284334c60a0f3da9e0946548e8f7dec6a88,VERBAL ABUSE,0,negative,,1,False,2020-02-14
20-0073,PPD_20-0073.txt,ada9a65aff3c7f4e3b91f1e4a295d276050cbc7337769d306209050f941dfa9a,DEPARTMENTAL VIOLATIONS,0,negative,,6,True,2020-02-12
20-0074,PPD_20-0074.txt,b371e31e17ed00c8f3bec955c6a2c1fadf725ea6cc3ea12f7f26ec47134c6bae,DEPARTMENTAL VIOLATIONS,0,negative,,3,True,2020-01-31
20-0075,PPD_20-0075.txt,131bb1b6bed057fd2eec9946a12e33a717748262e455289e2fa402239e82ecb0,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2020-01-24
20-0076,PPD_20-0076.txt,78f41e194dd5da3214e3a7c699a06d60bc117370d79bfe16b8c0e36d3319a2a5,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2017-07-10
20-0077,PPD_20-0077.txt,6aaccaef8fc327a66bda30e70a2d39d640f26f30e2708bff42e1c2447356775a,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2020-02-14
20-0078,PPD_20-0078.txt,5f0c69560b844f0b7b1308c59e7d69401b6baf94eeab46c9a5a943cb9607df4f,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2020-02-18
20-0079,PPD_20-0079.txt,c822009642615190552ebc32fb9762c0562e6d91c6d488292b98480959dc6dab,LACK OF SERVICE,0,negative,,2,True,2020-01-12
20-0080,PPD_20-0080.txt,a2969a4271de230c7ce9328b176a0c7475ca6451cbad11028811ad8498fb14ac,LACK OF SERVICE,0,negative,,4,False,2020-02-17
20-0081,PPD_20-0081.txt,17883a973238df2d223f606a231642df57ab12677e8daa9fe04c45063c0b4135,UNPROFESSIONAL CONDUCT,0,negative,,6,True,2020-02-14
20-0082,PPD_20-0082.txt,00eed19bc9ccf3cd5e47bbc26df64849fe16c27f38ecdd3efea18b6d5e3175f8,LACK OF SERVICE,0,negative,,2,False,2019-04-01
20-0083,PPD_20-0083.txt,c4006bfc00e78bed9de8f089872028a7f235dea4c5e4d6d174d14246881e8a8e,DEPARTMENTAL VIOLATIONS,0,negative,,4,False,2020-02-08
20-0084,PPD_20-0084.txt,9e8bd5c60feb7b84e025c1a19c585b0ee99f2204befccbe2167ed48110c53332,PHYSICAL ABUSE,0,negative,,3,False,2020-02-20
20-0085,PPD_20-0085.txt,5145a330842d448391f58871f401f1f08fbc8d5bda864a36fd9408cb470b0d08,SEXUAL CRIME/MISCONDUCT,0,negative,,1,False,2020-02-17
20-0086,PPD_20-0086.txt,0cfa005150f90a253c93830590e1f2f65c3ea1cb3debb30ced4ece9bd9cfe052,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,13,True,2020-02-04
20-0087,PPD_20-0087.txt,8a1d53cd193878a7384fc0469c0b9809e127476aed8b872f3b84bca141e9035c,HARASSMENT,0,negative,,1,False,2020-02-06
20-0088,PPD_20-0088.txt,ed3b39a951ff0ea98f8044c9d4cb39bf9ef1c735845bbf3a8fd7df28dd61a7a7,LACK OF SERVICE,0,negative,,1,False,2019-03-16
20-0089,PPD_20-0089.txt,e21edb812db9d21a6072e86dfb02b9a53c8c8fd2de91fdfa63e10691eefacf39,VERBAL ABUSE,0,negative,,1,False,2020-02-18
20-0090,PPD_20-0090.txt,82c3348d865f18dc7e35a7c80360daf49957fdb7712838bb87f236294863cfe4,LACK OF SERVICE,0,negative,,1,False,2020-02-25
20-0091,PPD_20-0091.txt,a98c1c4a7e79bc75cb159cdf2a299cbf5e82070584170c501a40a13952bb702f,CIVIL RIGHTS COMPLAINT,3,brady_adjacent,CIVIL RIGHTS COMPLAINT with sustained finding,7,True,2020-02-27
20-0092,PPD_20-0092.txt,91fdc74697e6acf5c33de71c985dbd304ad246ae5f34202aa301fa9581939547,PHYSICAL ABUSE,2,giglio_relevant,Criminal Allegation (No Sustained Findings); Criminal Allegation (No Sustained Findings),2,False,2020-02-27
20-0093,PPD_20-0093.txt,d1f56edc4ddd229d7a3ee0086a092b1e2cac747ed911287e046bd27007f7721f,DEPARTMENTAL VIOLATIONS,1,strong_giglio,Sustained Falsification,3,True,2019-04-18
20-0094,PPD_20-0094.txt,ed8be941612e268972b15fad6e7bcd8eea540e120a708f9e3ce9d168d543f565,CRIMINAL ALLEGATION,2,giglio_relevant,Criminal Allegation (No Sustained Findings); Criminal Allegation (No Sustained Findings),5,False,2020-03-02
20-0095,PPD_20-0095.txt,d4096285080d7274dbf5455bc87eadef4a1a62bc370f15b711d2873cf3457c1f,DOMESTIC,0,negative,,2,False,
20-0096,PPD_20-0096.txt,d7546091a2ec621795122a4d5fbeebe30e07a7343909aaef3018899408023a08,PHYSICAL ABUSE,0,negative,,2,False,
20-0097,PPD_20-0097.txt,c93ea66cd25980a3c635fdbe43b394ea14dca93f0c4e0835c9a0293ea49521f1,DEPARTMENTAL VIOLATIONS,0,negative,,9,True,2020-02-24
20-0098,PPD_20-0098.txt,c4e79e4eab2d4f9d4013d38aef04e092047f7d7126e460b0219cdba692cbcff4,DEPARTMENTAL VIOLATIONS,0,negative,,5,True,2020-02-15
20-0099,PPD_20-0099.txt,c020b4911c82f96892015c5639490969ec087173c331e4169e4ebcbfe7e903f8,DEPARTMENTAL VIOLATIONS,0,negative,,5,True,2019-09-20
20-0100,PPD_20-0100.txt,7339b193d8e31237f7f2e733b7241db1260b158bc800f32f708876a5f83dda24,DEPARTMENTAL VIOLATIONS,0,negative,,9,False,2019-12-05
20-0101,PPD_20-0101.txt,9883de89a5c842ca7619f907bb712ac1c6e2d8e0afd5c41b60b13d735ce2032f,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-12-05
20-0102,PPD_20-0102.txt,381792dbe7c3856e2307f94a78deefba1c9e3ea5851864392e9c54c508ddbe35,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-12-05
20-0103,PPD_20-0103.txt,34d04423bb92c1baecff7b6055136acc5d2711a5133d33905f43bfba8d4c48a2,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-12-05
20-0104,PPD_20-0104.txt,011b36073d1dfb3e86ca663dfa9a37b50a00a1d439455935b6e0f0e5ac66d4a6,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-12-05
20-0105,PPD_20-0105.txt,32aefecc3fff39c4f2061e7106f023db3300a9aa64921ff22139a43a69bb2fe9,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-12-05
20-0106,PPD_20-0106.txt,9809d87d266457ef7bc33ae1969480721cbb4f56d6af947f9c6982c1f44dd7aa,PHYSICAL ABUSE,0,negative,,3,False,2020-01-12
20-0107,PPD_20-0107.txt,80328f699eb6ab0c61037e816efc8c7cb71ebb83ec40c5702e1a1f3102a704b9,LACK OF SERVICE,0,negative,,8,True,2020-03-05
20-0108,PPD_20-0108.txt,8b7c75d246b6625afce321201549d74968cb0d9140b3010a2a76e7454ce078a1,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-10-06
20-0109,PPD_20-0109.txt,1d3b3548116f591cd706ac1fcf4484a31a3373407ea0201d64f7c7dd79c25f25,PHYSICAL ABUSE,0,negative,,1,False,2019-05-25
20-0110,PPD_20-0110.txt,51ce20c0fa40bc532cb19206fb4b94e4ebc6e84f871da31c3e6273467a119154,DEPARTMENTAL VIOLATIONS,0,negative,,4,False,2019-12-24
20-0111,PPD_20-0111.txt,1f481f312b8b382dc3451d2115b61c0a4c83710894210a23ab37ebc792929e41,LACK OF SERVICE,0,negative,,5,True,2019-11-26
20-0112,PPD_20-0112.txt,7bc9ea3ba82fc4cf0a82cf99f11c1113883cc28438e0757c5c5d7e17136ed687,DEPARTMENTAL VIOLATIONS,0,negative,,3,True,2020-02-11
20-0113,PPD_20-0113.txt,4547d0f02c86b95a0912b3112a675d7caaab6fe1b04106692ff886a86ef21207,DEPARTMENTAL VIOLATIONS,0,negative,,7,True,2020-02-20
20-0114,PPD_20-0114.txt,99b68b71a1806b89afcd508d1a3f1c99bf7b6435f89e97c437fa23f2cafd7063,PHYSICAL ABUSE,0,negative,,1,False,2020-03-08
20-0115,PPD_20-0115.txt,88ed2d058941c2651caf1f85553a6b66fb9f182f27f5ed031aed94cbad2bcf0d,LACK OF SERVICE,0,negative,,1,False,2019-11-08
20-0116,PPD_20-0116.txt,d92a19a7f506f090d9282d0759420ed9f0c9738e038db2f8060bc788e70b5216,LACK OF SERVICE,0,negative,,4,True,2020-03-05
20-0117,PPD_20-0117.txt,8173511f2c2ddff63f29b3aad377b12ae5da466555bcfa21bb23342637a46d27,UNPROFESSIONAL CONDUCT,0,negative,,1,False,2020-03-07
20-0118,PPD_20-0118.txt,04dfe72189d2a283a5d9df2de1de80f6779b1441abb590141d39f434e8165ba5,LACK OF SERVICE,0,negative,,3,True,2020-03-07
20-0119,PPD_20-0119.txt,d0344bd94b90b3aa7b0724398c0b79eb92c4a806b29d4fd98fccfce4bffce520,PHYSICAL ABUSE,0,negative,,1,False,2019-11-26
20-0120,PPD_20-0120.txt,17e71cc73969a95ec2734bad93f82badc2a147eb3f242ca1cbf7534dc46accd8,PHYSICAL ABUSE,0,negative,,9,False,2020-03-09
20-0121,PPD_20-0121.txt,9c3864e6516745934090d9a92753360305961c5acbe7adfdac86462502e17d83,DEPARTMENTAL VIOLATIONS,0,negative,,3,True,2020-02-29
20-0122,PPD_20-0122.txt,c951676a1a8ed0eb3d9ad7d5d0069bad0bf5f32b795645d2d69d9ba91e23a560,UNPROFESSIONAL CONDUCT,0,negative,,3,True,2020-03-09
20-0123,PPD_20-0123.txt,bd77e46204d26f0ccd159c6db9f07dcc912052783681741b3d90564e9fc71f20,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2020-03-02
20-0124,PPD_20-0124.txt,9ceaefb0d18c207f1ccfb34f7b26f35bb74ac531b4aef9308d0027dc5252d8c9,CIVIL RIGHTS COMPLAINT,3,brady_adjacent,CIVIL RIGHTS COMPLAINT with sustained finding,9,True,2020-03-06
20-0125,PPD_20-0125.txt,a9075cb517f60d2ae1b33f437c2713905adcda1680960fb7da7877b16f1cf9e6,DEPARTMENTAL VIOLATIONS,0,negative,,2,True,2020-03-09
20-0126,PPD_20-0126.txt,1ac57cffbd3df60ab4b059e9e9a7d7a4153cac247c50dc2f34ef1442c276aaa8,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,8,True,2020-03-10
20-0127,PPD_20-0127.txt,91161a1cde0b4474063d489b8d1dd9d435fd8be13126b5ea70640638a45dd679,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,6,True,2020-02-06
20-0128,PPD_20-0128.txt,ac7c34353a0d1ef8c59d7df8f31f8d85013f9384da9a9711e18e8ae1c5311fe8,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2020-03-11
20-0129,PPD_20-0129.txt,1c22610515e52f7d1efb0d2345a84fc095e821b30b30d865b81434f1695ae438,UNPROFESSIONAL CONDUCT,0,negative,,6,True,2020-03-06
20-0130,PPD_20-0130.txt,53d1d7b18cd4f75798fe75dfa51d57535f4fce69063f2f3572b574f5b67d5bb9,DEPARTMENTAL VIOLATIONS,0,negative,,6,True,2020-03-13
20-0131,PPD_20-0131.txt,db324ac4885b3d8a230901bf4afbc4f8143d54770cd0dd0f03893a1d640c3785,SEXUAL CRIME/MISCONDUCT,0,negative,,2,False,2020-03-15
20-0132,PPD_20-0132.txt,d99cc6c45ffe6be1d3b99b9dedfad38b123246b1f7e4dc65ea3359c318e1f507,DOMESTIC,0,negative,,1,False,
20-0133,PPD_20-0133.txt,52f2ab284f7b01ad15ff77c3776cf2ec186a725593021a4d530550686f33389e,CRIMINAL ALLEGATION,2,giglio_relevant,Criminal Allegation (No Sustained Findings); Criminal Allegation (No Sustained Findings),1,False,
20-0134,PPD_20-0134.txt,f9ba9bbf82522b784c27a627925beeaf7cdccd9495baa3f7626eb6c93474904d,CRIMINAL ALLEGATION,1,strong_giglio,Sustained Criminal Allegation; Sustained Criminal Allegation; Sustained Criminal Allegation; Sustained Criminal Allegation,5,True,2020-02-14
20-0135,PPD_20-0135.txt,c55e8f72511070b894d058f00226c789692d193ffbc520d7aac449241929b857,PHYSICAL ABUSE,0,negative,,3,False,2020-03-16
20-0136,PPD_20-0136.txt,e8f99d5643727b94c3942b50ffe6e63815619b2df6306542a6a053540651fbca,LACK OF SERVICE,0,negative,,1,False,2020-03-12
20-0137,PPD_20-0137.txt,fe68715439191be6c7cbf42643a99966bebbc159ad95fff2f8b4282be6ff21ad,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2020-03-13
20-0138,PPD_20-0138.txt,b09bf4608ed71ab3e0888ef61cc649a12dbf14b356c058ce7fba4f18e3a6ea01,CRIMINAL ALLEGATION,2,giglio_relevant,Criminal Allegation (No Sustained Findings); Criminal Allegation (No Sustained Findings),1,False,2020-03-17
20-0139,PPD_20-0139.txt,bb133f9a44a65d4ab471ad049f76d70724241f8aa76d078818885a848b8eab19,DEPARTMENTAL VIOLATIONS,1,strong_giglio,Falsification (No Sustained Findings),8,True,2020-03-12
20-0140,PPD_20-0140.txt,10f6deeb11619a91b6dffa236c8e63fd1b92e86e1482a20d6182b56231944cb4,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2020-03-19
20-0141,PPD_20-0141.txt,dadcd2b014723cbf24b85e1a6d8d010f1add44f09b38dc3ccdd878c5ab8ebf82,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,5,True,2020-03-05
20-0142,PPD_20-0142.txt,c90d0030cece3d4ed7b94734802309831dda65b98f33db1aca44cf1fb75d21e2,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2020-04-10
20-0143,PPD_20-0143.txt,de91797767feef8206b00104c405f37258380b31b382776734b5dd75be7e295d,PHYSICAL ABUSE,0,negative,,4,False,2020-03-09
20-0144,PPD_20-0144.txt,e9806841a84007fb9f59b43b6d5aee885efd53b80f38c9a862f10d568af478b4,DEPARTMENTAL VIOLATIONS,0,negative,,7,True,2020-03-20
